"pre_idbatchcage","post_idbatch","batch","group","condition","Prerank","Postrank","SampleName","region"
"1Batch12Cage4","4-1Batch12",12,"reorganized","ascenders",3,1,"A2.PFCB12.4.1.trim.sam.counts","PFC"
"1Batch12Cage4","4-1Batch12",12,"reorganized","ascenders",3,1,"D6.AMYB12.4.1.trim.sam.counts","AMY"
"4Batch9Cage2","2-4Batch9",9,"control","control",3,3,"C3.AMYB9.2.4.trim.sam.counts","AMY"
"4Batch9Cage2","2-4Batch9",9,"control","control",3,3,"C8.PFCB9.2.4.trim.sam.counts","PFC"
"3Batch13Cage2","2-3Batch13",13,"reorganized","same",3,3,"B6.PFCB13.2.3.trim.sam.counts","PFC"
"3Batch13Cage2","2-3Batch13",13,"reorganized","same",3,3,"G5.AMYB13.2.3.trim.sam.counts","AMY"
"2Batch11Cage2","2-2Batch11",11,"reorganized","descenders",1,3,"D8.AMYB11.2.2.trim.sam.counts","AMY"
"2Batch11Cage2","2-2Batch11",11,"reorganized","descenders",1,3,"G1.PFCB11.2.2.trim.sam.counts","PFC"
"4Batch8Cage4","4-4Batch8",8,"reorganized","descenders",1,3,"A8.PFCB8.4.4.trim.sam.counts","PFC"
"4Batch8Cage4","4-4Batch8",8,"reorganized","descenders",1,3,"E7.AMYB8.4.4.trim.sam.counts","AMY"
"2Batch10Cage5","5-2Batch10",10,"reorganized","ascenders",3,1,"D4.PFCB10.5.2.trim.sam.counts","PFC"
"2Batch10Cage5","5-2Batch10",10,"reorganized","ascenders",3,1,"G7.AMYB10.5.2.trim.sam.counts","AMY"
"2Batch12Cage3","3-2Batch12",12,"control","control",3,3,"C7.AMYB12.3.2.trim.sam.counts","AMY"
"2Batch12Cage3","3-2Batch12",12,"control","control",3,3,"H1.PFCB12.3.2.trim.sam.counts","PFC"
"1Batch8Cage1","1-1Batch8",8,"reorganized","ascenders",3,1,"B2.PFCB8.1.1.trim.sam.counts","PFC"
"1Batch8Cage1","1-1Batch8",8,"reorganized","ascenders",3,1,"F2.AMYB8.1.1.trim.sam.counts","AMY"
"4Batch14Cage4","4-4Batch14",14,"reorganized","ascenders",3,1,"B9.AMYB14.4.4.trim.sam.counts","AMY"
"4Batch14Cage4","4-4Batch14",14,"reorganized","ascenders",3,1,"H6.PFCB14.4.4.trim.sam.counts","PFC"
