Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/14/2019 10:19:12,Cage 5,Cage 4,4,"Sniff, Allogroom",Cage 2,2,Walk away,,,
11/14/2019 10:19:54,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:21:10,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:21:48,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,Freeze/immobility,,,
11/14/2019 10:22:05,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Flee,,,
11/14/2019 10:23:34,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,2,Flee,,,
11/14/2019 10:25:12,Cage 2,Cage 5,1,Lunge,Cage 3,1,Subordinate posture,,,
11/14/2019 10:25:26,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Subordinate posture,,,Yes
11/14/2019 10:25:47,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:27:48,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:28:04,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:28:39,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,"Flee, Freeze/immobility",,,
11/14/2019 10:31:15,Cage 1,Cage 3,4,"Bite/Fight, Chase",Cage 5,4,"Flee, Subordinate posture, Freeze/immobility",,,
11/14/2019 10:31:42,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:32:01,Cage 1,Cage 4,1,Bite/Fight,Cage 2,1,"Flee, Freeze/immobility",,,
11/14/2019 10:32:16,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:33:44,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Subordinate posture,,,
11/14/2019 10:33:55,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/14/2019 10:34:21,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:34:53,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 4,3,Flee,,,
11/14/2019 10:36:36,Cage 5,Cage 1,2,Lunge,Cage 1,3,Freeze/immobility,,,
11/14/2019 10:37:47,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:38:15,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,Freeze/immobility,,,Yes
11/14/2019 10:38:30,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:38:47,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,Freeze/immobility,,,
11/14/2019 10:40:19,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Subordinate posture,,,
11/14/2019 10:40:36,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:40:54,Cage 2,Cage 5,1,Bite/Fight,Cage 2,3,Freeze/immobility,,,
11/14/2019 10:41:28,Cage 2,Cage 5,1,Sniff,Cage 3,1,Subordinate posture,,,
11/14/2019 10:42:06,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,1,Flee,,,
11/14/2019 10:43:39,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:44:51,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/14/2019 10:45:01,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:48:59,Cage 4,Cage 4,4,Bite/Fight,Cage 3,2,"Flee, Subordinate posture",,,
11/14/2019 10:49:11,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:49:48,Cage 1,Cage 3,4,Lunge,Cage 5,4,Subordinate posture,,,
11/14/2019 10:50:05,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:50:36,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,Flee,,,Yes
