batch ,precage ,preid,wt_d4,wt_d8,wt_12 ,T_reorganization,T_sac ,HoursRearranged 
11,4,1,37.5,37.4,37.6,9:30,10:40,1
11,4,2,39.9,40.6,42.8,9:30,10:40,1
11,4,3,42.3,42.8,38,9:30,10:40,1
11,4,4,35.2,35.3,35.6,9:30,10:40,1
11,5,1,33.6,32.6,33.3,9:30,10:40,1
11,5,2,32.8,31.8,31.8,9:30,10:40,1
11,5,3,33.2,33.5,34.8,9:30,10:40,1
11,5,4,35,33.5,35.5,9:30,10:40,1
12,1,1,31,31.5,31.8,9:30,10:40,1
12,1,2,35.4,35,36.7,9:30,10:40,1
12,1,3,38.8,39.4,39.8,9:30,10:40,1
12,1,4,37.6,36.2,36.6,9:30,10:40,1
12,2,1,31.1,30.9,30.8,9:30,10:40,1
12,2,2,34.9,33.1,33.1,9:30,10:40,1
12,2,3,35.8,34.7,35.1,9:30,10:40,1
12,2,4,35.2,34.6,35.7,9:30,10:40,1
12,3,1,38.3,35.8,38.8,9:30,10:40,1
12,3,2,36.8,37.3,37.3,9:30,10:40,1
12,3,3,36.5,36.3,36.8,9:30,10:40,1
12,3,4,38.2,38.1,36.7,9:30,10:40,1
12,4,1,34.6,34.8,34.5,9:30,10:40,1
12,4,2,37.8,38.1,33.8,9:30,10:40,1
12,4,3,42.9,42.6,41.8,9:30,10:40,1
12,4,4,35.9,35.1,37.6,9:30,10:40,1
12,5,1,34,32.7,34.8,9:30,10:40,1
12,5,2,34.6,35.7,33,9:30,10:40,1
12,5,3,36.6,36.2,36.8,9:30,10:40,1
12,5,4,37.7,37.3,38.9,9:30,10:40,1
13,1,1,36,35.2,35.5,9:30,10:40,1
13,1,2,35.5,38.5,36.7,9:30,10:40,1
13,1,3,36.5,38.6,38.5,9:30,10:40,1
13,1,4,38.7,36.6,37.9,9:30,10:40,1
13,2,1,34.7,35.1,35,9:30,10:40,1
13,2,2,36,37.7,34.8,9:30,10:40,1
13,2,3,38.1,35.4,38.5,9:30,10:40,1
13,2,4,33.8,34.5,34.8,9:30,10:40,1
13,3,1,36.1,35.7,36.8,9:30,10:40,1
13,3,2,37.9,37.6,36.8,9:30,10:40,1
13,3,3,37.5,37.2,37.8,9:30,10:40,1
13,3,4,34.8,35.1,35,9:30,10:40,1
13,4,1,36.5,37.8,36.8,9:30,10:40,1
13,4,2,34,33.7,34.8,9:30,10:40,1
13,4,3,38.8,38.2,38.8,9:30,10:40,1
13,4,4,38.7,39.6,40.3,9:30,10:40,1
13,5,1,35.5,35.7,36.8,9:30,10:40,1
13,5,2,38,37.6,36.8,9:30,10:40,1
13,5,3,38.3,39.1,38.6,9:30,10:40,1
13,5,4,36.2,37.8,38.8,9:30,10:40,1
14,1,1,37.6,36.4,34,9:30,10:40,1
14,1,2,42.9,41.5,42,9:30,10:40,1
14,1,3,34.4,34.8,37.9,9:30,10:40,1
14,1,4,38.2,37.9,41,9:30,10:40,1
14,2,1,42.8,42.2,36.8,9:30,10:40,1
14,2,2,35.5,35.2,40.8,9:30,10:40,1
14,2,3,39.9,39.8,39.4,9:30,10:40,1
14,2,4,37.9,39.3,40.5,9:30,10:40,1
14,3,1,41.5,43.6,37.8,9:30,10:40,1
14,3,2,39.9,40.5,38.9,9:30,10:40,1
14,3,3,35.7,36.6,32.6,9:30,10:40,1
14,3,4,40,38.7,35.8,9:30,10:40,1
14,4,1,39.6,38.6,37.5,9:30,10:40,1
14,4,2,42.7,41.2,40.4,9:30,10:40,1
14,4,3,32,33.5,33.7,9:30,10:40,1
14,4,4,33.4,34.4,32.8,9:30,10:40,1
14,5,1,39.4,39.3,39.8,9:30,10:40,1
14,5,2,37.8,39.2,38.8,9:30,10:40,1
14,5,3,45,45.8,44.3,9:30,10:40,1
14,5,4,41.7,40.6,40.8,9:30,10:40,1
14,6,1,36.4,36.5,38.8,9:30,10:40,1
14,6,2,42.8,42.3,41.7,9:30,10:40,1
14,6,3,37.5,38.9,37.5,9:30,10:40,1
14,6,4,38.9,37.6,36.6,9:30,10:40,1
