Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/14/2020 10:58:39,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/15/2020 11:53:36,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/15/2020 11:55:37,Cage 1,4,Allogroom,1,Freeze/immobility,,,
1/15/2020 11:56:09,Cage 4,3,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
1/15/2020 11:56:30,Cage 4,3,Mount,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 12:00:31,Cage 4,3,"Chase, Sniff",4,Flee,,,
1/15/2020 12:01:33,Cage 5,4,Allogroom,1,Freeze/immobility,,,
1/15/2020 12:06:01,Cage 2,1,"Sniff, Allogroom",4,N/A,,,
1/15/2020 12:07:16,Cage 2,3,Allogroom,2,Freeze/immobility,,,
1/15/2020 12:09:21,Cage 2,4,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/15/2020 12:11:01,Cage 4,3,Mount,1,Freeze/immobility,,,
1/15/2020 12:12:57,Cage 2,1,Bite/Fight,2,Freeze/immobility,,,
1/15/2020 12:14:05,Cage 2,4,Bite/Fight,2,Freeze/immobility,,,
1/15/2020 12:24:57,Cage 2,4,"Lunge, Bite/Fight",2,"Flee, Freeze/immobility",,,
1/15/2020 12:25:14,Cage 2,1,Bite/Fight,2,Subordinate posture,,,
1/15/2020 12:30:46,Cage 1,3,Sniff,1,Flee,,,
1/15/2020 12:31:55,Cage 1,3,Allogroom,2,Freeze/immobility,,,
1/15/2020 12:40:36,Cage 4,3,"Lunge, Chase",4,"Flee, Freeze/immobility",,,
1/15/2020 12:41:53,Cage 2,3,Allogroom,2,Freeze/immobility,,,
1/15/2020 12:44:20,Cage 5,3,"Bite/Fight, Mount",4,"Subordinate posture, Freeze/immobility",,,
1/15/2020 12:44:33,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/15/2020 12:48:50,Cage 3,4,Allogroom,3,Freeze/immobility,,,
1/15/2020 12:49:05,Cage 1,4,Allogroom,3,N/A,,,
1/15/2020 12:50:15,Cage 4,3,Lunge,4,Flee,,,
1/15/2020 12:50:27,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
1/15/2020 12:52:46,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/15/2020 16:00:04,Cage 1,1,Lunge,1,Lunge,Tmm ,Start ,
