"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Zfp488",-0.338881788887103,0.0148,70,-0.305615887089687,0.023,"down","TRN vs SUB"
"Camkk1",-0.286710233058746,0.0152,70,-0.290862122238079,0.0144,"down","TRN vs SUB"
"Laptm4a",0.207113833372602,0.0154,70,0.261281493039313,0.0022,"up","TRN vs SUB"
"Chid1",0.232893448662696,0.0154,70,0.248874511800175,0.0092,"up","TRN vs SUB"
"Slain1",0.237186881903777,0.0154,70,0.284393801657598,0.0042,"up","TRN vs SUB"
"Ccm2",0.552571957004591,0.0158,70,0.577700742249572,0.012,"up","TRN vs SUB"
"Vmn1r16",-0.35785597529196,0.0158,70,-0.325832386455288,0.0236,"down","TRN vs SUB"
"Uqcr11",0.25055528623861,0.0164,70,0.261752084614219,0.011,"up","TRN vs SUB"
"Kcnip3",0.256158369536371,0.0164,70,0.244415737821573,0.0206,"up","TRN vs SUB"
"Vmn2r113",-0.356669992150445,0.0166,70,-0.306191047995683,0.033,"down","TRN vs SUB"
"Zbtb37",-0.431389340705217,0.0168,70,-0.375662077033349,0.0344,"down","TRN vs SUB"
"Grem2",0.388200507927416,0.0168,70,0.375738700662044,0.0206,"up","TRN vs SUB"
"Gpc6",-0.64676190893843,0.0168,70,-0.900320574718481,0.0022,"down","TRN vs SUB"
"Olfr403",-0.531351601716146,0.0168,70,-0.486317041470633,0.022,"down","TRN vs SUB"
"Ly6g6e",1.32351298341425,0.017,70,1.95958260850928,2e-04,"up","TRN vs SUB"
"Phkg2",-0.30987465371949,0.017,70,-0.276826338557886,0.0314,"down","TRN vs SUB"
"Nxn",0.486186173509065,0.0172,70,0.625113044725629,8e-04,"up","TRN vs SUB"
"Dhx16",-0.346164673452904,0.0172,70,-0.29041404114576,0.0298,"down","TRN vs SUB"
"Egr3",-0.503232028828367,0.0172,70,-0.628284393756559,0.0054,"down","TRN vs SUB"
"Aldh5a1",0.240414959749455,0.0174,70,0.297284866206836,0.003,"up","TRN vs SUB"
"Rnf5",0.284986573269914,0.0176,70,0.252739648193259,0.029,"up","TRN vs SUB"
"Adam9",0.501739098915661,0.0176,70,0.471403833991428,0.0326,"up","TRN vs SUB"
