"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"7313","AW146154",0.24478361132921,0.2154,70,0.558948110051686,0.008
"7314","Hspa1a",-0.676064269501876,0.2156,70,-1.04994331013275,0.056
"7315","Siglec1",-0.323774647585178,0.2158,70,-0.313126234403091,0.2424
"7316","Cryba1",-0.77489782629015,0.2174,70,-0.906862829349053,0.149
"7317","Pdss1",-0.287368459742576,0.2176,70,-0.280248871407147,0.2416
"7318","Tgfbr3",0.472594067762955,0.2176,70,0.251628014647872,0.5188
"7319","Tead2",-0.361118911391108,0.218,70,-0.476419288583648,0.1132
"7320","Sh2b2",-0.269240055856987,0.2186,70,-0.300903129059109,0.1858
"7321","Kcnh3",-0.21356277880863,0.2192,70,-0.217339280779027,0.2256
"7322","Ankub1",-0.29733350494101,0.2194,70,-0.264899344199356,0.3002
"7323","Cckar",-0.449370870803591,0.2196,70,-0.520496997229918,0.1732
"7324","Dlgap5",0.269772064406351,0.22,70,0.303203944530632,0.2016
"7325","Rbpms",-0.232746686854249,0.2204,70,-0.275876542220968,0.1618
"7326","P2ry4",-0.336781805409747,0.2204,70,-0.345182660480244,0.2212
"7327","Vash1",-0.333392465636825,0.2208,70,-0.246910094828296,0.3804
"7328","Zfp112",-0.200570875601751,0.221,70,-0.292600868819362,0.0932
"7329","Erich5",-0.423832863444175,0.2216,70,-0.277936379366987,0.453
"7330","Map3k6",-0.553579002270896,0.2226,70,-0.609493778808248,0.1984
"7331","Cldn5",0.20937015940866,0.2228,70,0.322750127573446,0.076
"7332","Trpc7",0.305784408501879,0.2248,70,0.388000848925907,0.1546
"7333","Prss36",0.252867348268671,0.2252,70,0.255028524917881,0.2532
"7334","Ap5s1",0.311531366795899,0.2258,70,0.427757782498366,0.1238
"7335","Bach1",-0.224341472601886,0.2264,70,-0.352836512458448,0.0684
"7336","Arhgef6",-0.234756617532299,0.2264,70,-0.275452260005562,0.1768
"7337","Rasa4",0.247868150381791,0.2272,70,0.228118477778008,0.2838
"7338","Mmp19",-0.367365282213124,0.2274,70,-0.669872576204233,0.0284
"7339","Gstp2",0.216043961882503,0.2278,70,0.210965401902559,0.2506
"7340","Krt12",-0.517154432369543,0.228,70,-0.230795750862718,0.6148
"7341","Ccdc78",-0.449743422176233,0.2286,70,-0.399936213699913,0.292
"7342","Stap1",-0.279202938686447,0.2288,70,-0.28203885608727,0.246
"7343","Hacl1",-0.273228026058754,0.2294,70,-0.214140853936085,0.379
"7344","Paqr5",-0.253561051375195,0.2294,70,-0.23016957260716,0.3118
"7345","St18",0.338489585338667,0.2294,70,0.43844644819322,0.1484
"7346","Rpl36",0.25782825680446,0.2298,70,0.207639571426744,0.348
"7347","1700066M21Rik",-0.203231637519873,0.2304,70,-0.259213341934213,0.133
"7348","Ccdc120",0.322097996015353,0.2324,70,0.347467732679751,0.2112
"7349","Rhoh",-0.301661032664653,0.233,70,-0.302972828869868,0.2584
"7350","Bet1",0.219018431006578,0.2342,70,0.239608228943775,0.2192
"7351","Nfkbiz",-0.374148723991755,0.2346,70,-0.536631928530461,0.0992
"7352","Ceacam3",-0.389611012639964,0.2348,70,-0.383346583047627,0.2508
"7353","Iah1",0.224926505202086,0.2362,70,0.3490894044558,0.0882
"7354","St3gal6",-0.217102556407582,0.2368,70,-0.259422194773496,0.1708
"7355","Adamts19",-0.369766535819714,0.2372,70,-0.474005496760232,0.1486
"7356","Usp50",0.252903077841605,0.2388,70,0.351569346003296,0.1324
"7357","Dctd",0.227081177591454,0.2388,70,0.306017578218552,0.1332
"7358","Vmn2r74",-0.283378210226711,0.2388,70,-0.253595409661263,0.3086
