"symbol","DES_logFC","DES_pvalue","ASC_logFC","ASC_pvalue","contrast"
"Fam227a",0.361336581265628,0.04,0.38921682801667,0.0164,"trans vs. same"
"Trim12a",0.33996432891689,0.041,0.382985220418105,0.0082,"trans vs. same"
"Dclk3",0.673757328834789,0.0414,0.653458557901019,0.0386,"trans vs. same"
"Nsmf",0.404611975588601,0.042,0.468741191991155,0.0266,"trans vs. same"
"Heatr3",0.284168477553797,0.0426,0.270440579833195,0.029,"trans vs. same"
"Ccdc116",0.535357412283455,0.0432,0.491627440685329,0.029,"trans vs. same"
"Mr1",0.628206290548543,0.0434,0.678349943994535,0.0066,"trans vs. same"
"Erc2",0.368751287947222,0.0444,0.455010031879393,0.014,"trans vs. same"
"Cybrd1",0.546542735192145,0.0458,0.580656917805467,0.0264,"trans vs. same"
"Tspoap1",0.23576551186937,0.0498,0.329867671278996,0.0152,"trans vs. same"
"Rdx",-0.461898752120307,0,-0.308220079519228,0.0138,"trans vs. same"
"Cert1",-0.460042345400916,2e-04,-0.302726909899601,0.0206,"trans vs. same"
"Nap1l3",-0.473504169335937,2e-04,-0.385426532738219,0.0024,"trans vs. same"
"Fignl2",-0.955278996091312,2e-04,-0.74507794367339,0.048,"trans vs. same"
"Tlk2",-0.36800302425703,4e-04,-0.267169436656951,0.0214,"trans vs. same"
"Cep43",-0.402808129915406,4e-04,-0.418879799349896,0.0134,"trans vs. same"
"Sema6d",-0.788228606001807,6e-04,-0.532323288651351,0.01,"trans vs. same"
"Itpk1",-0.564796649797971,6e-04,-0.583451152416988,0.0018,"trans vs. same"
"Hspa4l",-0.31338503409545,8e-04,-0.340426053992831,0.0274,"trans vs. same"
"Chrm2",-1.58608901097232,8e-04,-1.02680931238693,0.0342,"trans vs. same"
"Sv2a",-0.32725696472389,0.001,-0.330304482899066,0.0378,"trans vs. same"
"Luzp1",-0.587097215427343,0.0012,-0.356866996963896,0.0466,"trans vs. same"
"Abcf1",-0.240935651616237,0.0014,-0.234135753406487,0.0024,"trans vs. same"
"Phlda3",-1.03098257633548,0.0014,-0.61999556578687,0.0042,"trans vs. same"
"Tonsl",-0.720346478552854,0.0014,-0.492611652987824,0.0486,"trans vs. same"
"Stk39",-0.535151405345949,0.0016,-0.472683452837038,0.0094,"trans vs. same"
"Endod1",-0.559525284638921,0.0016,-0.357739282224828,0.0332,"trans vs. same"
"Sema3c",-0.847870535533467,0.0018,-0.794775675964621,0.0152,"trans vs. same"
"Fundc2",-0.440951163777192,0.0018,-0.501302746175982,0.0014,"trans vs. same"
"Nkrf",-0.507125381419405,0.0018,-0.354237953072132,0.0212,"trans vs. same"
"Rad21",-0.297757343198418,0.002,-0.242444170376229,0.005,"trans vs. same"
"Rai2",-0.759141130133436,0.002,-0.788460948063081,2e-04,"trans vs. same"
"Efcab2",-0.409855964236092,0.0022,-0.417501530272725,0.0144,"trans vs. same"
"Aplp2",-0.252173930160076,0.0022,-0.266242770062789,0.0488,"trans vs. same"
"Hipk2",-0.486978744027907,0.0022,-0.258145225528657,0.0224,"trans vs. same"
"Kif21a",-0.261741492262981,0.0024,-0.219341649098089,0.0452,"trans vs. same"
"Haus3",-0.587077886683726,0.0024,-0.42209560394952,0.0024,"trans vs. same"
"Supt16",-0.393794192132348,0.0032,-0.27883062875396,2e-04,"trans vs. same"
"Flywch1",-0.329623960938447,0.0034,-0.287253990750592,0.0268,"trans vs. same"
"Th",-1.2582329669598,0.0038,-0.8829131352349,0.0084,"trans vs. same"
"Coasy",-0.333884204802217,0.0038,-0.361041627317345,0.0204,"trans vs. same"
"Hivep1",-0.600824493232876,0.0038,-0.331748794925864,0.01,"trans vs. same"
"Vwc2l",-0.785626974417204,0.0038,-0.575654872003998,0.0422,"trans vs. same"
"Cgrrf1",-0.401646301379967,0.004,-0.297264249975458,0.0128,"trans vs. same"
"Lhfpl3",-0.753756415812891,0.0044,-0.404040332992639,0.026,"trans vs. same"
"Ttc12",-0.641649119855311,0.005,-0.615051123338721,0.0302,"trans vs. same"
"Zbtb38",-0.228662917339467,0.005,-0.247569158570978,0,"trans vs. same"
"Rgs3",-0.612172264764721,0.0058,-0.364751417834635,0.0428,"trans vs. same"
"Ank1",-0.653543309916724,0.006,-0.542629210251582,0.0216,"trans vs. same"
"Usp6nl",-0.350527204816617,0.006,-0.247883592207081,0.0228,"trans vs. same"
"Pde4d",-0.412166175412159,0.0064,-0.432931354612414,0.0124,"trans vs. same"
"Ccdc28b",-0.425062905643769,0.0066,-0.315160166102857,0.038,"trans vs. same"
"Rp9",-0.335138006810797,0.0076,-0.215208676193172,0.0154,"trans vs. same"
"Dpysl3",-0.35217176782284,0.008,-0.435939434019445,0.0288,"trans vs. same"
"Scrn1",-0.311354410818659,0.0088,-0.308541696764169,0.0346,"trans vs. same"
"Ctps2",-0.255343475225597,0.0088,-0.273671721362416,0.0036,"trans vs. same"
"Nefm",-0.729064379027873,0.009,-0.988833570655636,0.017,"trans vs. same"
"Col11a1",-1.06369069851458,0.009,-0.746631067276655,0.036,"trans vs. same"
"Gnas",-0.20435673176045,0.0092,-0.344239760818327,0.004,"trans vs. same"
"Ccdc186",-0.315738484366996,0.0092,-0.357657608695918,0.001,"trans vs. same"
"Plcb4",-0.546721635202693,0.0092,-0.476683746521568,0.0442,"trans vs. same"
"Tax1bp1",-0.221100980548607,0.0094,-0.22313288929425,0.0058,"trans vs. same"
"Flrt2",-0.463327453092215,0.0104,-0.28006164798193,0.035,"trans vs. same"
"Zfp14",-0.563385895944781,0.0106,-0.328179951295604,0.0366,"trans vs. same"
"Laptm4b",-0.365608897146879,0.011,-0.654391853339263,0.007,"trans vs. same"
"Ifitm10",-0.597001883196002,0.0112,-0.567610819966039,0.0292,"trans vs. same"
"Akr1b10",-0.708059671955902,0.0112,-0.495232705539006,0.0192,"trans vs. same"
"Bcor",-0.414082077710477,0.0114,-0.344164506343248,0.0082,"trans vs. same"
"Rit2",-0.332721699418598,0.0114,-0.393896855228371,0.0236,"trans vs. same"
"Gpr153",-0.66293501283832,0.0118,-0.501615384297602,0.0492,"trans vs. same"
"Cisd3",-0.388162710156883,0.0118,-0.380692229945216,0.0212,"trans vs. same"
"Septin6",-0.54137784006873,0.012,-0.602730410552937,8e-04,"trans vs. same"
"Bean1",-0.350883072610367,0.0122,-0.387875182733941,0.0048,"trans vs. same"
"Klhl1",-0.98687650008831,0.0126,-1.02624639499771,0.0406,"trans vs. same"
"Adcy2",-0.672374241172974,0.0128,-0.573490233580296,0.0342,"trans vs. same"
"Tspan17",-0.64869391780466,0.0136,-0.656501886842073,0.0038,"trans vs. same"
"Cep290",-0.294097313231914,0.014,-0.285236550152884,0.012,"trans vs. same"
"Syt1",-0.219590861990488,0.0144,-0.354227096239665,0.009,"trans vs. same"
"Nap1l5",-0.433965648635906,0.0144,-0.390622099817765,0.0298,"trans vs. same"
"Ache",-0.50637600375495,0.0146,-0.521604304851233,0.0408,"trans vs. same"
"Vps36",-0.215509240657708,0.0152,-0.280067925476303,0.028,"trans vs. same"
"Akap12",-0.544122418591665,0.0152,-0.640614803006037,0.0212,"trans vs. same"
"Sox4",-0.373941161977235,0.0152,-0.272753210606161,0.0138,"trans vs. same"
"Prickle1",-0.368003427262171,0.0154,-0.334418133567716,0.0058,"trans vs. same"
"Iglon5",-0.7623618024013,0.0158,-0.470268704107894,0.021,"trans vs. same"
"Limk1",-0.526051717382817,0.0158,-0.528664507477066,0.0234,"trans vs. same"
"Atp1b1",-0.214389844571645,0.0166,-0.285135560346479,0.0316,"trans vs. same"
"Ddx1",-0.245431634976976,0.0172,-0.210599946195154,0.0262,"trans vs. same"
"Nefl",-0.324162463610126,0.0178,-0.650166334519913,0.0102,"trans vs. same"
"DPCD",-0.240765921104138,0.018,-0.279054083526701,0.0096,"trans vs. same"
"Pfdn4",-0.226706477957087,0.0182,-0.349604628786145,0.0032,"trans vs. same"
