SampleName,region,batch,post_idbatch,AggGiven70min,AggRec70min,pre_idbatch,pre_idbatchcage,time,Postds,Postrank,Preds,Prerank,wt_d4,wt_d8,wt_12,post_Ncort,condition1
D6.PFCB8.4.1.trim.sam.counts,PFC,8,4-1Batch8,95,0,1Batch8,1Batch8Cage4,1 hr,2.79885057471264,1,-2.19955300127714,4,43.4,41.9,41.2,0.32753730509239487,ASC
D7.AMYB14.5.4.trim.sam.counts,AMY,14,5-4Batch14,23,0,4Batch1,4Batch14Cage5,1 hr,3,1,5.21818181818182,1,41.7,40.6,40.8,0.05649720291130214,CDOM
E1.PFCB9.3.4.trim.sam.counts,PFC,9,3-4Batch9,0,30,4Batch9,4Batch9Cage3,1 hr,-3.72777777777778,4,4.64311594202899,1,42,40.9,41.3,0.6304524814761462,DES
E2.PFCB12.4.2.trim.sam.counts,PFC,12,4-2Batch12,68,0,2Batch1,2Batch12Cage4,1 hr,2,1,-2.9517094017094,4,37.8,38.1,33.8,0.17236187594330657,ASC
E3.AMYB11.1.3.trim.sam.counts,AMY,11,1-3Batch11,0,60,3Batch1,3Batch11Cage1,1 hr,-1.875,4,5.76653185035389,1,38.8,37.1,36.8,0.8867589443118218,DES
E3.PFCB14.1.2.trim.sam.counts,PFC,14,1-2Batch14,62,32,2Batch1,2Batch14Cage1,1 hr,1.75238095238095,1,5.45,1,42.9,41.5,42,0.8848208223783461,DOM
E4.AMYB12.3.4.trim.sam.counts,AMY,12,3-4Batch12,66,0,4Batch1,4Batch12Cage3,1 hr,3.83928571428571,1,4.74142857142857,1,38.2,38.1,36.7,0.06017514271069922,CDOM
E4.PFCB13.5.1.trim.sam.counts,PFC,13,5-1Batch13,0,45,1Batch1,1Batch13Cage5,1 hr,-2.7,4,-5.02857142857143,4,35.5,35.7,36.8,0.18268988895313812,CSUB
E5.PFCB10.3.2.trim.sam.counts,PFC,10,3-2Batch10,0,69,2Batch1,2Batch10Cage3,1 hr,-2.41746411483254,4,-3.57777777777778,4,36.3,36.2,35.1,0.6273630814696635,SUB
E6.PFCB11.2.3.trim.sam.counts,PFC,11,2-3Batch11,0,48,3Batch1,3Batch11Cage2,1 hr,-3.01704260651629,4,-3.61666666666667,4,38.1,36.9,36.8,0.41361140593892587,SUB
E8.PFCB12.1.3.trim.sam.counts,PFC,12,1-3Batch12,59,60,3Batch1,3Batch12Cage1,1 hr,3.04807692307692,1,4.86666666666667,1,38.8,39.4,39.8,0.23857329994228405,DOM
F1.AMYB14.2.2.trim.sam.counts,AMY,14,2-2Batch14,0,56,2Batch1,2Batch14Cage2,1 hr,-4.04761904761905,4,-5.35164835164835,4,35.5,35.2,40.8,0.18100562385915175,SUB
F1.PFCB13.1.4.trim.sam.counts,PFC,13,1-4Batch13,51,60,4Batch1,4Batch13Cage1,1 hr,-1.55,4,3.9375,1,38.7,36.6,37.9,0.1959551762596081,DES
F3.AMYB12.4.2.trim.sam.counts,AMY,12,4-2Batch12,68,0,2Batch1,2Batch12Cage4,1 hr,2,1,-2.9517094017094,4,37.8,38.1,33.8,0.17236187594330657,ASC
F4.AMYB9.4.1.trim.sam.counts,AMY,9,4-1Batch9,0,45,1Batch9,1Batch9Cage4,1 hr,-4.56043956043956,4,-3.26190476190476,4,41.3,40.6,40.4,0.336127491178566,SUB
F4.PFCB9.4.1.trim.sam.counts,PFC,9,4-1Batch9,0,45,1Batch9,1Batch9Cage4,1 hr,-4.56043956043956,4,-3.26190476190476,4,41.3,40.6,40.4,0.336127491178566,SUB
