"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Dagla",-0.39248418372226,0.0150805135350687,0.868103685221382,269060,"CON-DOM","down",0.524037098939815,0.0121143578550491,0.996111667085965,"up"
"Dapk3",-0.512698964684122,0.0151850043527541,0.868103685221382,13144,"CON-DOM","down",0.585106452153834,0.029714864638767,0.996111667085965,"up"
"Tm6sf2",-0.709130874764045,0.0154388105491832,0.868103685221382,107770,"CON-DOM","down",0.89691208660929,0.0103663263089072,0.996111667085965,"up"
"Olfr323",1.07669246856589,0.0154906287099655,0.868103685221382,258373,"CON-DOM","up",-1.40362258498461,0.0400242258068094,0.996111667085965,"down"
"Fam76a",0.234737610389392,0.0164399105618936,0.868103685221382,230789,"CON-DOM","up",-0.267977893081158,0.0409591588008428,0.996111667085965,"down"
"Zfp651",-0.333884025832504,0.0164946249587176,0.868103685221382,270210,"CON-DOM","down",0.37204896377558,0.0446832163321854,0.996111667085965,"up"
"Nr4a3",-0.892102613454737,0.0167459168643509,0.868103685221382,18124,"CON-DOM","down",1.06657497842538,0.0249904771295077,0.996111667085965,"up"
"Slc8a2",-0.482647723842668,0.0167839211893576,0.868103685221382,110891,"CON-DOM","down",0.546150421680111,0.0429698201065003,0.996111667085965,"up"
"Fkbp1b",-0.318941139967329,0.0167930692701973,0.868103685221382,14226,"CON-DOM","down",0.388545293005731,0.0241298215785548,0.996111667085965,"up"
"Dio2",-0.899714848691317,0.017174991864765,0.868103685221382,13371,"CON-DOM","down",0.999111798239543,0.0440150559536675,0.996111667085965,"up"
"Pwp2",-0.354556876539391,0.0172541803161338,0.868103685221382,110816,"CON-DOM","down",0.382420954376374,0.0476170781962282,0.996111667085965,"up"
"Oxr1",-0.348037252175388,0.0181733934582336,0.868103685221382,170719,"CON-DOM","down",0.420421116564003,0.029514901555993,0.996111667085965,"up"
"Sbf1",-0.295687158032514,0.0182315459412208,0.868103685221382,77980,"CON-DOM","down",0.341701866275007,0.0362915951761985,0.996111667085965,"up"
"Hspa1a",-1.15584853919362,0.0183290141450724,0.868103685221382,193740,"CON-DOM","down",1.82918547363283,0.00158127636652196,0.996111667085965,"up"
"Kcnh4",-0.810459946034431,0.0190045860089786,0.868103685221382,380728,"CON-DOM","down",0.962890821018839,0.0208986562742326,0.996111667085965,"up"
"Zc2hc1a",-0.397983648073345,0.0193995497743159,0.868103685221382,67306,"CON-DOM","down",0.496357481051919,0.0216932641825068,0.996111667085965,"up"
"Pter",-0.648248526654233,0.0194666422350226,0.868103685221382,19212,"CON-DOM","down",0.822692274701413,0.0211363173066124,0.996111667085965,"up"
"Nhs",0.542196488505962,0.0198136515732779,0.868103685221382,195727,"CON-DOM","up",-0.83055083569361,0.0123448471098934,0.996111667085965,"down"
"Stx1a",-0.550421191982216,0.0198174951226546,0.868103685221382,20907,"CON-DOM","down",0.675118598531156,0.0282760657737531,0.996111667085965,"up"
"Rad52",-0.324975427513751,0.0208191822622636,0.868103685221382,19365,"CON-DOM","down",0.369012072259475,0.045155133566773,0.996111667085965,"up"
