"reg","symbol"
"Down","Plagl1"
"Down","Plxnc1"
"Down","Cacna1h"
"Down","C2cd4c"
"Down","Mr1"
"Down","Zfp831"
"Down","Ppfia2"
"Down","Hap1"
"Down","Doc2b"
"Down","Dcp1b"
"Down","Bdnf"
"Down","Gda"
"Down","Fig4"
"Down","Tspoap1"
"Down","Zc3h7b"
"Down","Cd3d"
"Down","Olfr1221"
"Down","Trp53i11"
"Down","Rfx2"
"Down","Cmbl"
"Down","Serpinb8"
"Down","Fbxo25"
"Down","D430019H16Rik"
"Down","Il4ra"
"Down","Rgs16"
"Down","Axin2"
"Down","Barx2"
"Down","Vmn2r74"
"Down","Ttc26"
"Down","Cort"
"Down","P3h3"
"Down","Numbl"
"Down","Ahdc1"
"Down","Sh3rf1"
"Down","Rab11fip2"
"Down","Camk2d"
"Down","Vmn2r121"
"Down","Brinp3"
"Down","C2cd2l"
"Down","Jakmip1"
"Down","Acta1"
"Down","Pnmal1"
"Down","Ccnd2"
"Down","Celf5"
"Down","E130311K13Rik"
"Down","Cx3cl1"
"Down","Carmil3"
"Down","Arntl"
"Down","Atn1"
"Down","Lrrtm1"
"Down","Cadm1"
"Down","Col26a1"
"Down","Icam5"
"Down","Pip5k1b"
"Down","Otof"
"Down","Irf1"
"Down","Entpd6"
"Down","Hpcal1"
"Down","Dnah5"
"Down","Sstr2"
"Down","Fam126a"
"Down","Tfdp1"
"Down","Vac14"
"Down","Tgfb1"
"Down","6330549D23Rik"
"Down","Lhx9"
"Down","Olfr901"
"Down","Olfr1129"
"Down","P3h1"
"Down","Ngb"
"Down","Ubtfl1"
"Down","Hnrnpul1"
"Down","Slc16a11"
"Down","Myzap"
"Down","Grid1"
"Down","Mast3"
"Down","Neurl1b"
"Down","Slc30a10"
"Down","Spon1"
"Down","Tbc1d32"
"Down","Myo18b"
"Down","Dhx40"
"Down","Slamf1"
"Down","Vmn1r198"
"Down","Nsun7"
"Down","Vmn1r185"
"Down","Aldh3b2"
"Down","Shc2"
"Down","Fads3"
"Down","Adamtsl2"
"Down","Trmt10a"
"Down","Exd2"
"Down","Ankef1"
"Down","Zmat1"
"Down","Zfp772"
"Down","Il17rd"
"Down","Slitrk3"
"Down","Nek10"
"Down","Zkscan7"
"Down","Olfr1116"
"Down","Krba1"
"Down","Srsf6"
"Down","Vmn2r100"
"Down","Bhlhb9"
"Down","Cyb5r3"
"Down","Adal"
"Down","Bicral"
"Down","F13a1"
"Down","Trim25"
"Down","Rps6ka2"
"Down","Hmgb1"
"Down","Prkce"
"Down","Prkg1"
"Down","Jph4"
"Down","Pcdh20"
"Down","Cdh22"
"Down","Hyou1"
"Down","Col23a1"
"Down","Top2a"
"Down","Zfp65"
"Down","Smpdl3b"
"Down","Fzd3"
"Down","Trim7"
"Down","Rreb1"
"Down","Pofut1"
"Down","Ankrd39"
"Down","Galnt16"
"Down","Kl"
"Down","Nrxn1"
"Down","Prdm10"
"Down","Dpf1"
"Down","Slc15a5"
"Down","Map3k19"
"Down","Vmn1r5"
"Down","Nhsl2"
"Down","Ccdc103"
"Down","Uox"
"Down","Bcl7c"
"Down","Alkbh1"
"Down","Alkbh1"
"Down","Celf2"
"Down","Efcab6"
"Down","Sgsm2"
"Down","Sema6b"
"Down","Hpcal4"
"Down","Efcab11"
"Down","Nr2f1"
"Down","Zfp592"
"Down","Negr1"
"Down","Zfp146"
"Down","Rfx3"
"Down","Fam227a"
"Down","Olfr1138"
"Down","Syt5"
"Down","Ildr2"
"Down","Kcnh3"
"Down","Dusp18"
"Down","N6amt1"
"Down","Rsph9"
"Down","Tmem158"
"Down","Matn2"
"Down","Zfp791"
"Down","Ccdc166"
"Down","Sap130"
"Down","Bex4"
"Down","Kcnip3"
"Down","Rhoh"
"Down","Scrib"
"Down","Sdc3"
"Down","Slc15a1"
"Down","Ppp3ca"
"Down","Rad51ap1"
"Down","Heatr3"
"Down","Camk1g"
"Down","Cr2"
"Down","Gramd1c"
"Down","Ms4a12"
"Down","Lhx4"
"Down","Tada2a"
"Down","Cdk17"
"Down","Gpx2"
"Down","Iqgap2"
"Down","Arhgap6"
"Down","Wnt4"
"Down","Tigd4"
"Down","Il1rapl1"
"Down","Gna11"
"Down","Smco4"
"Down","Slc16a7"
"Down","Plk5"
"Down","Slit1"
"Down","Gpd1l"
"Down","Lcorl"
"Down","Lcorl"
"Down","Anks1b"
"Down","Zfp423"
"Down","Gen1"
"Down","Orai2"
"Down","Slc31a2"
"Down","Setd1a"
"Down","Trp53rka"
"Down","Lin7c"
"Down","Tub"
"Down","B230307C23Rik"
"Down","Kcnip2"
"Down","Trh"
"Down","Igfbp6"
"Down","Kdm2b"
"Down","Cap2"
"Down","Mcm10"
"Down","Gpm6a"
"Down","Map2k1"
"Down","Stk25"
"Down","Mgat4a"
"Down","Lrp1b"
"Down","Ccdc30"
"Down","Rbm24"
"Down","Olfr293"
"Down","Crebzf"
"Down","Fbf1"
"Down","Irs4"
"Down","Ppp3r1"
"Down","Fam184b"
"Down","Plppr4"
"Down","Nrp2"
"Down","Msh3"
"Down","Pkd2"
"Down","Malt1"
"Down","Clec7a"
"Down","Psmd9"
"Down","Commd10"
"Down","Ssbp4"
"Down","Ripor2"
"Down","Glce"
"Down","Efnb1"
"Down","Carf"
"Down","Armc8"
"Down","Tuba8"
"Down","Pkp2"
"Down","Olfr1211"
"Down","Frrs1l"
"Down","Rsph1"
"Down","Dpyd"
"Down","Ptpre"
"Down","Scarb1"
"Down","Cacna2d1"
"Down","Pign"
"Down","Prr36"
"Down","D630045J12Rik"
"Down","Olfr1023"
"Down","Sv2b"
"Down","Vmn1r227"
"Down","Olfr1318"
"Down","Rock2"
"Down","Olfr1157"
"Down","Clcn7"
"Down","Olfr1336"
"Down","Dlg4"
"Down","Sipa1l1"
"Down","Ewsr1"
"Down","Bbc3"
"Down","Efna3"
"Down","Rhpn1"
"Down","2410004P03Rik"
"Down","Zfpl1"
"Down","Paqr9"
"Down","Arhgef28"
"Down","Camkv"
"Down","Srsf9"
"Down","Lmtk3"
"Down","Ilkap"
"Down","Pip5k1a"
"Down","Vmn1r184"
"Down","Rnf138"
"Down","Olfr733"
"Down","Nell2"
"Down","Grk3"
"Down","Phex"
"Down","Chst11"
"Down","Npy1r"
"Down","Arxes1"
"Down","Olfr160"
"Down","Ppef1"
"Down","Rap2b"
"Down","Dclk3"
"Down","Abhd18"
"Down","Cpeb4"
"Down","Aloxe3"
"Down","Ly6h"
"Down","Saxo2"
"Down","Vmn1r181"
"Down","Mrc2"
"Down","Tigd3"
"Down","Arhgap26"
"Down","Cbfa2t3"
"Down","Tnrc6c"
"Down","Pced1b"
"Down","Vmn1r18"
"Down","Olfr1312"
"Down","Vmn1r236"
"Down","Kctd4"
"Down","Atp9b"
"Down","Olfr31"
"Down","Adgrb3"
"Down","Drc1"
"Down","Elk1"
"Down","Olfr66"
