"symbol","logFCStatus","P.ValueStatus","adj.P.ValStatus","entrez","contrast","regStatus","logFCCort","P.ValueCort","adj.P.ValCort","regCort"
"Limd1",0.515192409220635,0.0101242306846403,0.986983539221594,29806,"CON-ASC","up",0.693790185496948,0.0455633969257482,0.342012523100677,"up"
"Ptprn",-0.214092271746878,0.0103958932447964,0.986983539221594,19275,"CON-ASC","down",-0.386950818622651,0.00500797271012347,0.193062458151495,"down"
"2410002F23Rik",-0.289292239808038,0.0108959443653175,0.986983539221594,668661,"CON-ASC","down",-0.40950002666186,0.0338266555277849,0.310283757172063,"down"
"Tmlhe",0.624920362713567,0.0113876020376151,0.986983539221594,192289,"CON-ASC","up",0.838319097817832,0.0288168244517374,0.296655550012746,"up"
"1110051M20Rik",-0.246629537387441,0.0123262624077149,0.986983539221594,228356,"CON-ASC","down",-0.415035914544475,0.0156224354377538,0.251723239384293,"down"
"Pld3",-0.25759872658187,0.0127143823211639,0.986983539221594,18807,"CON-ASC","down",-0.377379010665008,0.0391542266147538,0.324930627458627,"down"
"Vstm4",1.65323312557889,0.013022848494666,0.986983539221594,320736,"CON-ASC","up",2.40290345840511,0.0272263096484762,0.292421286625966,"up"
"Acat2",-0.307695758335456,0.0137004797812868,0.986983539221594,110460,"CON-ASC","down",-0.559348249355707,0.00975120025756649,0.221022858505822,"down"
"Shc2",-0.342802919516576,0.0138289546919132,0.986983539221594,216148,"CON-ASC","down",-0.519767052113869,0.0275077325553546,0.292557020733233,"down"
"Stmn1",-0.234296802183184,0.0138528527708367,0.986983539221594,16765,"CON-ASC","down",-0.328115807756793,0.048582045446497,0.349923358863155,"down"
"Mllt11",-0.257537785276391,0.0145157523265369,0.986983539221594,56772,"CON-ASC","down",-0.466422429872484,0.00791850006934031,0.206417718174998,"down"
"Tagln3",-0.347369805580554,0.0166442277116245,0.986983539221594,56370,"CON-ASC","down",-0.698581527176671,0.00386778642374402,0.181365548546562,"down"
"Tuba1c",1.35593961031767,0.0173825997562428,0.986983539221594,22146,"CON-ASC","up",2.37020983287124,0.00653862504843622,0.205404913153887,"up"
"Slc25a22",-0.377914707609198,0.0174336866657904,0.986983539221594,68267,"CON-ASC","down",-0.74736329942617,0.00830510379271509,0.210076438099445,"down"
