"batch","post_idbatch","pre_idbatchcage","Postds","Postrank","Preds","Prerank","wt_d8","CORT","SampleID","given1","received1","condition1","time"
8,"4-1Batch8","1Batch8Cage4",2.79885057471264,1,-2.19955300127714,4,41.9,207.341313043477,"B8.4.1.",0,2.44984160506864,"ASC",70
13,"1-4Batch13","4Batch13Cage1",-1.55,4,3.9375,1,36.6,149.443645142217,"B13.1.4",3.93454908818386,1.3489882588059,"DES",70
9,"3-4Batch9","4Batch9Cage3",-3.72777777777778,4,4.64311594202899,1,40.9,340.627515661503,"B9.3.4.",4.10352063418046,0,"DES",70
11,"1-3Batch11","3Batch11Cage1",-1.875,4,5.76653185035389,1,37.1,453.405341935043,"B11.1.3",8.47539356119699,0,"DES",70
14,"2-2Batch14","2Batch14Cage2",-4.04761904761905,4,-5.35164835164835,4,35.2,142.865668118802,"B14.2.2",0,3.57411183857465,"SUB",70
12,"4-2Batch12","2Batch12Cage4",2,1,-2.9517094017094,4,38.1,139.062318448956,"B12.4.2",0,2.13710247349823,"ASC",70
9,"4-1Batch9","1Batch9Cage4",-4.56043956043956,4,-3.26190476190476,4,40.6,211.12109488497,"B9.4.1.",0.839356493355094,3.5439496386104,"SUB",70
8,"3-4Batch8","4Batch8Cage3",5.54625199362042,1,5.86919191919192,1,39,194.110094710067,"B8.3.4.",11.5733896515312,0,"DOM",70
14,"4-2Batch14","2Batch14Cage4",-1.12380952380952,4,5.82678271907158,1,41.2,149.906839683942,"B14.4.2",10.1427498121713,0,"DES",70
10,"5-3Batch10","3Batch10Cage5",-2.96296296296296,4,5.76342592592593,1,43.3,413.059060773447,"B10.5.3",8.62601677281039,0,"DES",70
10,"3-3Batch10","3Batch10Cage3",5.34245014245014,1,4.9508547008547,1,39.8,503.232724218499,"B10.3.3",4.42650860710007,0.113500220694874,"DOM",70
8,"2-2Batch8","2Batch8Cage2",-1.01436781609195,4,-4.59464285714286,4,34.2,329.876616791225,"B8.2.2.",0.0844772967265048,3.97043294614572,"SUB",70
8,"2-4Batch8","4Batch8Cage2",-3.83333333333333,4,5.6606884057971,1,39,154.21837931401,"B8.2.4.",11.1510031678986,0.253431890179514,"DES",70
11,"2-3Batch11","3Batch11Cage2",-3.01704260651629,4,-3.61666666666667,4,36.9,245.214919056076,"B11.2.3",0.204226350872217,2.24648985959438,"SUB",70
1,"2-2Batch1","2Batch1Cage2",4.49935064935065,1,-4.08791208791209,4,38.2,33.1494729740813,"b1.2.2",0.404801394315914,6.37562196047564,"ASC",25
4,"4-1Batch4","1Batch4Cage4",5.82017825311943,1,5.60805860805861,1,40,71.9378705562293,"b4.4.1",4.60971112476951,0,"DOM",25
5,"2-2Batch5","2Batch5Cage2",-4.59663865546218,4,-4.2463768115942,4,35.7,71.6636350446161,"b5.2.2",0,2.41041298409127,"SUB",25
7,"4-1Batch7","1Batch7Cage4",5.3223602484472,1,5.72715053763441,1,43,171.511603300494,"b7.4.1",8.9204257475925,0,"DOM",25
4,"3-2Batch4","2Batch4Cage3",-3.23939393939394,4,5.45697577276525,1,36.5,111.014492252825,"b4.3.2",6.45359557467732,0,"DES",25
4,"5-2Batch4","2Batch4Cage5",4.2989010989011,1,-5.37777777777778,4,32.2,238.179680818244,"b4.5.2",0,3.87215734480639,"ASC",25
2,"2-1Batch2","1Batch2Cage2",-3.84473684210526,4,-5.17948717948718,4,39,95.7487417191344,"b2.2.1",0,1.8939212779186,"SUB",25
7,"4-2Batch7","2Batch7Cage4",-4.41304347826087,4,-4.5,4,32.6,269.557178397448,"b7.4.2",0,1.5205271160669,"SUB",25
6,"2-2Batch6","2Batch6Cage2",5.16720779220779,1,-4.37575757575758,4,33.7,79.4046628782662,"b6.2.2",0.366263098992776,3.29636789093499,"ASC",25
1,"1-1Batch1","1Batch1Cage1",5.45539215686275,1,5.86467447390856,1,38.7,71.8388019515396,"b1.1.1",13.3584460124252,0.101200348578978,"DOM",25
6,"1-4Batch6","4Batch6Cage1",-4.98611111111111,4,2.50641025641026,1,38.9,24.2273088025016,"b6.1.4",3.57106521517957,0.915657747481941,"DES",25
6,"1-1Batch6","1Batch6Cage1",-5.25595238095238,4,-4.92307692307692,4,40.8,152.279397029005,"b6.1.1",0,2.93010479194221,"SUB",25
7,"5-2Batch7","2Batch7Cage5",5.80986887508627,1,-4.91601731601732,4,39.1,172.984731820729,"b7.5.2",0.20273694880892,7.09579320831222,"ASC",25
7,"3-4Batch7","4Batch7Cage3",-4.52380952380952,4,4.84027777777778,1,38.9,186.368111674871,"b7.3.4",4.46021287379625,0.20273694880892,"DES",25
6,"2-1Batch6","1Batch6Cage2",5.16982323232323,1,5.46953046953047,1,39.8,87.2825689543017,"b6.2.1",3.57106521517957,0,"DOM",25
1,"3-3Batch1",NA,-2.78484848484848,4,-4.20909090909091,4,NA,NA,"b1.3.3",NA,NA,"SUB",25
5,"5-4Batch5","4Batch5Cage5",-2.45333333333333,4,5.35952380952381,1,34.2,128.565623321335,"b5.5.4",5.78499116181906,0,"DES",25
5,"5-3Batch5","3Batch5Cage5",5.64705882352941,1,-4.63333333333333,4,39.6,193.289706846702,"b5.5.3",0,1.34983127109111,"ASC",25
4,"2-4Batch4","4Batch4Cage2",-2.38846153846154,4,-4.73939393939394,4,39.1,169.888391965096,"b4.2.4",0,3.87215734480639,"SUB",25
2,"2-2Batch2","2Batch2Cage2",4.43722943722944,1,4.77380952380952,1,36.3,63.7797764664114,"b2.2.2",2.06609593954756,0.0860873308144818,"DOM",25
2,"3-4Batch2","4Batch2Cage3",-3.53246753246753,4,4.14957983193277,1,36.6,56.3740843036573,"b2.3.4",2.15218327036205,0.0860873308144818,"DES",25
5,"3-4Batch5","4Batch5Cage3",4.72235294117647,1,4.48851148851149,1,43.2,165.266727547779,"b5.3.4",2.69966254218223,0,"DOM",25
2,"5-1Batch2","1Batch2Cage5",4.65123034859877,1,-3.14583333333333,4,318,86.0058994918857,"b2.5.1",0.172174661628964,2.8408819168779,"ASC",25
