"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"226","Raf1",0.347872792955099,0.0104,25,0.347346096119172,0.0076
"227","Etf1",-0.241799497128395,0.0104,25,-0.227146777141414,0.0204
"228","Miga2",0.322920193698159,0.0106,25,NA,NA
"229","Cox18",-0.393842793785083,0.0124,25,-0.312931741673464,0.0464
"230","Dnal4",-0.303811638736564,0.0126,25,-0.248257660327942,0.0434
"231","Zfp354c",-0.27507691399748,0.0126,25,-0.380707383593732,0.0016
"232","Gabrb1",-0.268445641359222,0.0132,25,-0.276786494509215,0.0104
"233","Pde4a",0.352992488829666,0.0138,25,NA,NA
"234","Synm",-0.284195343420322,0.014,25,-0.354449569057937,0.0042
"235","Kansl2",0.240527848928371,0.0148,25,NA,NA
"236","Cd83",-0.574005523800918,0.0152,25,-0.505484727024327,0.0408
"237","Zfp46",-0.348483900475715,0.0152,25,-0.432312381637699,0.0028
"238","Cpeb2",-0.337997664591288,0.0168,25,-0.321885047783414,0.0346
"239","Manbal",-0.260591482883021,0.0174,25,-0.22792797901121,0.0268
"240","Unc13b",-0.302001217110405,0.0188,25,-0.290233826170915,0.0228
"241","Atp10d",0.338549574550361,0.02,25,0.447439963935625,0.0018
"242","Ap2b1",-0.236452269448381,0.0218,25,-0.250135169957217,0.0138
"243","Rps10",-0.242817160138328,0.0222,25,-0.234936640004234,0.022
"244","Gabra5",0.34656312147174,0.0224,25,NA,NA
"245","Olfr643",0.306403552863064,0.023,25,NA,NA
"246","Orai2",-0.259608313514696,0.0244,25,-0.258472197839841,0.0218
"247","Rbbp7",-0.324721717238281,0.0246,25,-0.281386232535294,0.0426
"248","Rpl37a",-0.382536677419736,0.025,25,-0.362493971837269,0.0344
"249","Mzt1",-0.367198698140157,0.0254,25,-0.34385626709514,0.0356
"250","Zc3h12b",-0.233156860317662,0.0264,25,-0.210078740187711,0.0446
"251","Rgs9bp",0.333213455805783,0.0264,25,NA,NA
"252","Olfr1440",0.387512942437244,0.027,25,NA,NA
"253","Sub1",-0.23815682878754,0.0274,25,-0.223026975362377,0.0378
"254","Atp8a1",-0.270415948657122,0.0284,25,-0.30523950164485,0.0142
"255","Med13l",-0.203248397794969,0.0292,25,-0.301446568946709,0.0038
"256","Fbxo25",-0.226890783668313,0.0314,25,-0.247949637000536,0.018
"257","Krt9",-0.784757715359653,0.032,25,-0.900656230965342,0.0098
"258","Zfp949",0.334476190820872,0.0326,25,NA,NA
"259","Dtx3",0.325461547431227,0.0334,25,0.342559239778943,0.0206
"260","Rbms3",0.346179648957696,0.0342,25,0.352262838006254,0.0296
"261","Bhlhe22",-0.480021365473269,0.0352,25,-0.47603862035316,0.0366
"262","Cpd",-0.222838951224529,0.0354,25,-0.218674976744971,0.0418
"263","Plxnc1",-0.251534427556344,0.0356,25,-0.288007592467761,0.0168
"264","Dennd1c",0.344969525920687,0.036,25,NA,NA
"265","Hdhd3",-0.511654174880577,0.036,25,-0.548676992996044,0.0262
"266","Ly6h",-0.290884807019909,0.0362,25,-0.375249869003238,0.0056
"267","Nefh",0.512365526686144,0.0364,25,NA,NA
"268","Rgs2",-0.273362548096353,0.0366,25,-0.335095037429531,0.0118
"269","Skp2",0.353092297702081,0.0368,25,0.436985103675349,0.011
"270","Exog",0.321648849578081,0.0372,25,NA,NA
"271","Coprs",-0.266549776940987,0.0376,25,-0.276641009101474,0.0294
"272","AU040320",-0.218457947327797,0.0378,25,-0.255348600134616,0.0122
"273","Astn2",0.343869198645807,0.04,25,NA,NA
"274","Tbrg4",0.202286384038938,0.0424,25,NA,NA
"275","Eml6",0.344364642247602,0.044,25,NA,NA
"276","Wrnip1",-0.26465234441483,0.0442,25,-0.333900843942931,0.0122
"277","Foxk1",-0.239867117365108,0.0472,25,-0.236754953555558,0.049
"278","1700066M21Rik",0.328263233561915,0.0484,25,NA,NA
