"","Zsummary.qual","Z.propVarExplained.qual","Z.meanSignAwareKME.qual","Z.meanSignAwareCorDat.qual","Z.meanAdj.qual","Z.meanMAR.qual","Zsummary.pres","Zdensity.pres","Zconnectivity.pres","Z.propVarExplained.pres","Z.meanSignAwareKME.pres","Z.meanSignAwareCorDat.pres","Z.meanAdj.pres","Z.meanMAR.pres","Z.cor.kIM","Z.cor.kME","Z.cor.kMEall","Z.cor.cor","Z.cor.MAR"
"grey",-15.3809610714124,-18.2588450429554,-19.3106059900651,0.380709778428858,-12.5030770998693,-8.81945282227316,-0.427623588795175,-3.79432342793831,2.93907625034796,-7.58294045529561,-0.958840213646298,34.2220011791038,-6.62980664223032,-6.02072143481313,2.93907625034796,-0.728519563221876,-0.145359644911231,45.5685045272352,26.3638880344639
"grey60",53.7674121788941,24.2013646955787,21.5552159891151,155.72952183184,83.3334596622095,7.79773657527255,15.8291345332037,17.9757855023014,13.682483564106,9.50612547360017,14.1402131473178,51.1608610640527,21.8113578572849,4.21077713486414,9.51474517603331,13.682483564106,81.334335620291,38.8888328202335,9.59374689673036
"lightcyan",27.7998055146136,18.4817501287212,18.4777170382148,158.072250949713,37.117860900506,2.70360483030172,1.00800834686242,-1.20521458642276,3.2212312801476,-3.7056825502213,0.221293791313091,3.72893831582747,-2.6317229641586,-3.1619284203334,3.2212312801476,2.25954016341369,17.4377563363858,6.29736739792114,5.483316072273
"lightgreen",55.5850058276927,23.5120937596126,21.3280053956511,148.880569754996,87.6579178957729,10.58440739123,10.3608608709876,12.9156282113003,7.80609353067493,5.62243973545495,10.7711453454669,33.4705106287709,15.0601110771337,6.49760514134582,5.25736947302877,7.80609353067493,95.0313427985678,21.4140470360896,9.95559487360173
"lightyellow",16.3752996182801,12.1535685448035,13.0134182376748,98.3136482347848,19.7371809988855,2.05040325941009,1.27112937155166,-0.0993904551337821,2.64164919823711,-3.63403301816191,2.06978975631282,3.81204409896445,-2.26857066658038,-1.21621262525912,2.64164919823711,2.59650590573764,52.2770009331869,7.61335343118603,12.0395770313373
"magenta",56.485905433915,27.3964455686523,25.973876811437,235.084416036401,85.5753652991778,8.52130144965094,15.4252955361796,19.1637316045514,11.6868594678078,8.53600617341157,12.1415924778058,39.770903465336,26.1858707312969,8.75931352226768,10.0771351529105,11.6868594678078,60.2626915317895,48.3410402466202,11.2038023604795
"midnightblue",31.5705857267972,19.6163081648629,19.4554689612468,174.068611598184,43.5248632887316,3.53544129938354,7.00960663060172,7.85285425962724,6.1663590015762,3.94223970219267,5.77690860279247,14.763336498269,9.928799916462,3.49253940475418,6.1663590015762,4.57184435475496,4.73203887672282,22.3131622158469,3.79204244354613
"pink",46.9959403659696,23.1427115970529,22.4827249666417,215.461751218029,70.8491691348863,7.63187643983467,7.93188344235736,3.40541417514222,12.4583527095725,-0.544304165648382,-0.0226812591594325,26.5589541289128,6.83350960944388,5.55755921959522,12.4583527095725,3.83697112793492,17.6253844114155,41.8600514970057,15.4130347229888
"purple",43.6212850833817,24.282018913012,23.7424687545087,215.126208955654,62.9605512537513,5.77629974729295,10.6855708472335,10.6954414596993,10.6757002347676,4.74558965174917,11.5128738651352,34.2178936812782,9.8780090542634,2.34184641705862,6.31294651495627,10.6757002347676,67.9871382288435,31.1492108096841,9.80134585894815
"red",66.5082130199993,33.4791552704153,31.3870605347916,290.997896252886,99.5372707695833,8.92609480735092,24.8737516357417,32.0001578658945,17.747345405589,13.7971327640852,18.0223673887595,62.4707018968167,45.9779483430295,13.655206170741,14.1633356288779,17.747345405589,49.8321829200159,63.2015311223402,14.0842791052749
