"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition"
"D12",1,100,113.390485784685,103.466279864663,4,"Pre","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"E11",1,100,180.803736245347,169.888391965096,4,"Post","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"E12",1,100,158.973047684846,169.888391965096,4,"Post","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"F11",1,100,211.807935899174,202.630628419493,4,"Pre","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"F12",1,100,193.453320939812,202.630628419493,4,"Pre","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"G11",1,100,214.011590834953,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"G12",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"H11",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"H12",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"D3",2,100,100.891278967526,111.769936089707,9,"Pre","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"D4",2,100,122.648593211888,111.769936089707,9,"Pre","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"E3",2,100,289.345754429032,311.198653061814,9,"Post","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"E4",2,100,333.051551694597,311.198653061814,9,"Post","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"F3",2,100,38.6114706992794,41.1896015383956,9,"Pre","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"F4",2,100,43.7677323775118,41.1896015383956,9,"Pre","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"G3",2,100,223.686761065898,211.12109488497,9,"Post","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"G4",2,100,198.555428704041,211.12109488497,9,"Post","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"H3",2,100,86.2608722474428,91.3103794344965,8,"Pre","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"H4",2,100,96.3598866215501,91.3103794344965,8,"Pre","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"A5",2,100,149.698766560072,154.21837931401,8,"Post","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"A6",2,100,158.737992067949,154.21837931401,8,"Post","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"B5",2,100,144.120090945226,133.913414431336,8,"Pre","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"B6",2,100,123.706737917447,133.913414431336,8,"Pre","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"C5",2,100,196.301555900028,194.110094710067,8,"Post","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"C6",2,100,191.918633520105,194.110094710067,8,"Post","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"D5",2,100,111.872249990232,122.888093440752,7,"Pre","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"D6",2,100,133.903936891271,122.888093440752,7,"Pre","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E5",2,100,160.329630731182,172.984731820729,7,"Post","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E6",2,100,185.639832910276,172.984731820729,7,"Post","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"F5",2,100,30.5726073227821,31.528034244625,7,"Pre","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"F6",2,100,32.483461166468,31.528034244625,7,"Pre","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"G5",2,100,258.151772461112,269.557178397448,7,"Post","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"G6",2,100,280.962584333783,269.557178397448,7,"Post","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"H5",2,100,43.7677323775118,47.9891481607292,6,"Pre","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"H6",2,100,52.2105639439466,47.9891481607292,6,"Pre","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"A7",2,100,94.2063516406397,87.2825689543017,6,"Post","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"A8",2,100,80.3587862679636,87.2825689543017,6,"Post","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"B7",2,100,136.348526131738,125.505753644147,6,"Pre","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"B8",2,100,114.662981156556,125.505753644147,6,"Pre","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"C7",2,100,24.9583592340145,24.2273088025016,6,"Post","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"C8",2,100,23.4962583709887,24.2273088025016,6,"Post","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"D7",2,100,33.5797411895451,37.2204812598304,5,"Pre","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"D8",2,100,40.8612213301157,37.2204812598304,5,"Pre","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
