"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage"
"E11",1,100,180.803736245347,169.888391965096,"4","Post","2-4","Cage2","4","2-4Batch4","4 Batch4","4Batch4Cage2"
"E12",1,100,158.973047684846,169.888391965096,"4","Post","2-4","Cage2","4","2-4Batch4","4 Batch4","4Batch4Cage2"
"F11",1,100,211.807935899174,202.630628419493,"4","Pre","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"F12",1,100,193.453320939812,202.630628419493,"4","Pre","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"G11",1,100,214.011590834953,238.179680818244,"4","Post","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"G12",1,100,246.235710812674,238.179680818244,"4","Post","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"H11",1,100,246.235710812674,238.179680818244,"4","Post","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"H12",1,100,246.235710812674,238.179680818244,"4","Post","5-2","Cage5","2","5-2Batch4","2 Batch4","2Batch4Cage5"
"D3",2,100,100.891278967526,111.769936089707,"9","Pre","3-1","Cage3","1","3-1Batch9","1 Batch9","1Batch9Cage3"
"D4",2,100,122.648593211888,111.769936089707,"9","Pre","3-1","Cage3","1","3-1Batch9","1 Batch9","1Batch9Cage3"
"E3",2,100,289.345754429032,311.198653061814,"9","Post","3-1","Cage3","1","3-1Batch9","1 Batch9","1Batch9Cage3"
"E4",2,100,333.051551694597,311.198653061814,"9","Post","3-1","Cage3","1","3-1Batch9","1 Batch9","1Batch9Cage3"
"F3",2,100,38.6114706992794,41.1896015383956,"9","Pre","4-1","Cage4","1","4-1Batch9","1 Batch9","1Batch9Cage4"
"F4",2,100,43.7677323775118,41.1896015383956,"9","Pre","4-1","Cage4","1","4-1Batch9","1 Batch9","1Batch9Cage4"
"G3",2,100,223.686761065898,211.12109488497,"9","Post","4-1","Cage4","1","4-1Batch9","1 Batch9","1Batch9Cage4"
"G4",2,100,198.555428704041,211.12109488497,"9","Post","4-1","Cage4","1","4-1Batch9","1 Batch9","1Batch9Cage4"
"H3",2,100,86.2608722474428,91.3103794344965,"8","Pre","2-4","Cage2","4","2-4Batch8","4 Batch8","4Batch8Cage2"
"H4",2,100,96.3598866215501,91.3103794344965,"8","Pre","2-4","Cage2","4","2-4Batch8","4 Batch8","4Batch8Cage2"
"A5",2,100,149.698766560072,154.21837931401,"8","Post","2-4","Cage2","4","2-4Batch8","4 Batch8","4Batch8Cage2"
"A6",2,100,158.737992067949,154.21837931401,"8","Post","2-4","Cage2","4","2-4Batch8","4 Batch8","4Batch8Cage2"
"B5",2,100,144.120090945226,133.913414431336,"8","Pre","3-4","Cage3","4","3-4Batch8","4 Batch8","4Batch8Cage3"
"B6",2,100,123.706737917447,133.913414431336,"8","Pre","3-4","Cage3","4","3-4Batch8","4 Batch8","4Batch8Cage3"
"C5",2,100,196.301555900028,194.110094710067,"8","Post","3-4","Cage3","4","3-4Batch8","4 Batch8","4Batch8Cage3"
"C6",2,100,191.918633520105,194.110094710067,"8","Post","3-4","Cage3","4","3-4Batch8","4 Batch8","4Batch8Cage3"
"D5",2,100,111.872249990232,122.888093440752,"7","Pre","5-2","Cage5","2","5-2Batch7","2 Batch7","2Batch7Cage5"
"D6",2,100,133.903936891271,122.888093440752,"7","Pre","5-2","Cage5","2","5-2Batch7","2 Batch7","2Batch7Cage5"
"E5",2,100,160.329630731182,172.984731820729,"7","Post","5-2","Cage5","2","5-2Batch7","2 Batch7","2Batch7Cage5"
"E6",2,100,185.639832910276,172.984731820729,"7","Post","5-2","Cage5","2","5-2Batch7","2 Batch7","2Batch7Cage5"
"F5",2,100,30.5726073227821,31.528034244625,"7","Pre","4-2","Cage4","2","4-2Batch7","2 Batch7","2Batch7Cage4"
"F6",2,100,32.483461166468,31.528034244625,"7","Pre","4-2","Cage4","2","4-2Batch7","2 Batch7","2Batch7Cage4"
"G5",2,100,258.151772461112,269.557178397448,"7","Post","4-2","Cage4","2","4-2Batch7","2 Batch7","2Batch7Cage4"
"G6",2,100,280.962584333783,269.557178397448,"7","Post","4-2","Cage4","2","4-2Batch7","2 Batch7","2Batch7Cage4"
"H5",2,100,43.7677323775118,47.9891481607292,"6","Pre","2-1","Cage2","1","2-1Batch6","1 Batch6","1Batch6Cage2"
"H6",2,100,52.2105639439466,47.9891481607292,"6","Pre","2-1","Cage2","1","2-1Batch6","1 Batch6","1Batch6Cage2"
"A7",2,100,94.2063516406397,87.2825689543017,"6","Post","2-1","Cage2","1","2-1Batch6","1 Batch6","1Batch6Cage2"
"A8",2,100,80.3587862679636,87.2825689543017,"6","Post","2-1","Cage2","1","2-1Batch6","1 Batch6","1Batch6Cage2"
"B7",2,100,136.348526131738,125.505753644147,"6","Pre","1-4","Cage1","4","1-4Batch6","4 Batch6","4Batch6Cage1"
"B8",2,100,114.662981156556,125.505753644147,"6","Pre","1-4","Cage1","4","1-4Batch6","4 Batch6","4Batch6Cage1"
"C7",2,100,24.9583592340145,24.2273088025016,"6","Post","1-4","Cage1","4","1-4Batch6","4 Batch6","4Batch6Cage1"
"C8",2,100,23.4962583709887,24.2273088025016,"6","Post","1-4","Cage1","4","1-4Batch6","4 Batch6","4Batch6Cage1"
"D7",2,100,33.5797411895451,37.2204812598304,"5","Pre","1-3","Cage1","3","1-3Batch5","3 Batch5","3Batch5Cage1"
"D8",2,100,40.8612213301157,37.2204812598304,"5","Pre","1-3","Cage1","3","1-3Batch5","3 Batch5","3Batch5Cage1"
"E7",2,100,312.305467487569,296.634025910676,"5","Post","1-3","Cage1","3","1-3Batch5","3 Batch5","3Batch5Cage1"
"E8",2,100,280.962584333783,296.634025910676,"5","Post","1-3","Cage1","3","1-3Batch5","3 Batch5","3Batch5Cage1"
"F7",2,100,92.1228594284735,99.35709572001,"5","Pre","1-4","Cage1","4","1-4Batch5","4 Batch5","4Batch5Cage1"
"F8",2,100,106.591332011546,99.35709572001,"5","Pre","1-4","Cage1","4","1-4Batch5","4 Batch5","4Batch5Cage1"
"G7",2,100,93.5042376943216,99.626057724584,"5","Post","1-4","Cage1","4","1-4Batch5","4 Batch5","4Batch5Cage1"
"G8",2,100,105.747877754846,99.626057724584,"5","Post","1-4","Cage1","4","1-4Batch5","4 Batch5","4Batch5Cage1"
"H7",2,100,151.147262986627,163.52207932221,"4","Pre","3-2","Cage3","2","3-2Batch4","2 Batch4","2Batch4Cage3"
"H8",2,100,175.896895657793,163.52207932221,"4","Pre","3-2","Cage3","2","3-2Batch4","2 Batch4","2Batch4Cage3"
"A9",2,100,102.472368127729,111.014492252825,"4","Post","3-2","Cage3","2","3-2Batch4","2 Batch4","2Batch4Cage3"
"A10",2,100,119.556616377922,111.014492252825,"4","Post","3-2","Cage3","2","3-2Batch4","2 Batch4","2Batch4Cage3"
"B9",2,100,73.0159941683297,75.858266660179,"4","Pre","4-1","Cage4","1","4-1Batch4","1 Batch4","1Batch4Cage4"
"B10",2,100,78.7005391520283,75.858266660179,"4","Pre","4-1","Cage4","1","4-1Batch4","1 Batch4","1Batch4Cage4"
"C9",2,100,78.1585539221352,71.9378705562293,"4","Post","4-1","Cage4","1","4-1Batch4","1 Batch4","1Batch4Cage4"
"C10",2,100,65.7171871903233,71.9378705562293,"4","Post","4-1","Cage4","1","4-1Batch4","1 Batch4","1Batch4Cage4"
"D9",2,100,79.8005779211434,86.3051793093466,"3","Pre","2-3","Cage2","3","2-3Batch3","3 Batch3","3Batch3Cage2"
"D10",2,100,92.8097806975498,86.3051793093466,"3","Pre","2-3","Cage2","3","2-3Batch3","3 Batch3","3Batch3Cage2"
"E9",2,100,52.842943252382,52.2153536898377,"3","Post","2-3","Cage2","3","2-3Batch3","3 Batch3","3Batch3Cage2"
"E10",2,100,51.5877641272934,52.2153536898377,"3","Post","2-3","Cage2","3","2-3Batch3","3 Batch3","3Batch3Cage2"
"F9",2,100,145.483408661953,145.483408661953,"3","Pre","2-1","Cage2","1","2-1Batch3","1 Batch3","1Batch3Cage2"
"F10",2,100,145.483408661953,145.483408661953,"3","Pre","2-1","Cage2","1","2-1Batch3","1 Batch3","1Batch3Cage2"
"G9",2,100,60.1193036441226,62.4975665383507,"3","Post","2-1","Cage2","1","2-1Batch3","1 Batch3","1Batch3Cage2"
"G10",2,100,64.8758294325787,62.4975665383507,"3","Post","2-1","Cage2","1","2-1Batch3","1 Batch3","1Batch3Cage2"
"H9",2,100,59.744144663987,63.8152349852881,"14","Pre","1-1","Cage1","1","1-1Batch14","1 Batch14","1Batch14Cage1"
"H10",2,100,67.8863253065893,63.8152349852881,"14","Pre","1-1","Cage1","1","1-1Batch14","1 Batch14","1Batch14Cage1"
